field,num_unique_values
http://www.wikidata.org/entity/Q11292282,1
http://www.wikidata.org/entity/Q11292346,1
http://www.wikidata.org/entity/Q11292347,1
http://www.wikidata.org/entity/Q11292547,1
http://www.wikidata.org/entity/Q11292564,1
http://www.wikidata.org/entity/Q11292586,1
http://www.wikidata.org/entity/Q11292590,1
http://www.wikidata.org/entity/Q11292827,1
http://www.wikidata.org/entity/Q11292907,1
http://www.wikidata.org/entity/Q11292937,1
http://www.wikidata.org/entity/Q11293013,1
http://www.wikidata.org/entity/Q11293042,1
http://www.wikidata.org/entity/Q11293075,1
http://www.wikidata.org/entity/Q11293076,1
http://www.wikidata.org/entity/Q11293078,1
http://www.wikidata.org/entity/Q11293113,1
http://www.wikidata.org/entity/Q11293199,1
http://www.wikidata.org/entity/Q11293211,1
http://www.wikidata.org/entity/Q11293249,1
http://www.wikidata.org/entity/Q11293250,1
http://www.wikidata.org/entity/Q11293251,1
http://www.wikidata.org/entity/Q11293252,1
http://www.wikidata.org/entity/Q11293253,1
http://www.wikidata.org/entity/Q11293254,1
http://www.wikidata.org/entity/Q11293255,1
http://www.wikidata.org/entity/Q11293256,1
http://www.wikidata.org/entity/Q11293258,1
http://www.wikidata.org/entity/Q11293259,1
http://www.wikidata.org/entity/Q11293269,1
http://www.wikidata.org/entity/Q11293294,1
http://www.wikidata.org/entity/Q11293321,1
http://www.wikidata.org/entity/Q11293437,1
http://www.wikidata.org/entity/Q11293451,1
http://www.wikidata.org/entity/Q11293559,1
http://www.wikidata.org/entity/Q11293629,1
http://www.wikidata.org/entity/Q11293630,1
http://www.wikidata.org/entity/Q11293730,1
http://www.wikidata.org/entity/Q11293802,1
http://www.wikidata.org/entity/Q11293803,1
http://www.wikidata.org/entity/Q11293894,1
http://www.wikidata.org/entity/Q11294024,1
http://www.wikidata.org/entity/Q11294086,1
http://www.wikidata.org/entity/Q11294094,1
http://www.wikidata.org/entity/Q11294309,1
http://www.wikidata.org/entity/Q11294321,1
http://www.wikidata.org/entity/Q11294323,1
http://www.wikidata.org/entity/Q11294327,1
http://www.wikidata.org/entity/Q11294328,1
http://www.wikidata.org/entity/Q11294329,1
http://www.wikidata.org/entity/Q11294330,1
http://www.wikidata.org/entity/Q11294494,1
http://www.wikidata.org/entity/Q11294504,1
http://www.wikidata.org/entity/Q11294505,1
http://www.wikidata.org/entity/Q11294508,1
http://www.wikidata.org/entity/Q11294512,1
http://www.wikidata.org/entity/Q11294519,1
http://www.wikidata.org/entity/Q11294537,1
http://www.wikidata.org/entity/Q11294560,1
http://www.wikidata.org/entity/Q11294566,1
http://www.wikidata.org/entity/Q11294585,1
http://www.wikidata.org/entity/Q11294617,1
http://www.wikidata.org/entity/Q11294629,1
http://www.wikidata.org/entity/Q11294631,1
http://www.wikidata.org/entity/Q11294733,1
http://www.wikidata.org/entity/Q11294735,1
http://www.wikidata.org/entity/Q11294738,1
http://www.wikidata.org/entity/Q11294786,1
http://www.wikidata.org/entity/Q11294957,1
http://www.wikidata.org/entity/Q11295011,1
http://www.wikidata.org/entity/Q11295046,1
http://www.wikidata.org/entity/Q11295121,1
http://www.wikidata.org/entity/Q11295179,1
http://www.wikidata.org/entity/Q11295262,1
http://www.wikidata.org/entity/Q11295268,1
http://www.wikidata.org/entity/Q11295327,1
http://www.wikidata.org/entity/Q11295448,1
http://www.wikidata.org/entity/Q11295514,1
http://www.wikidata.org/entity/Q11295519,1
http://www.wikidata.org/entity/Q11295533,1
http://www.wikidata.org/entity/Q11295571,1
http://www.wikidata.org/entity/Q11295679,1
http://www.wikidata.org/entity/Q11295685,1
http://www.wikidata.org/entity/Q11295735,1
http://www.wikidata.org/entity/Q11295746,1
http://www.wikidata.org/entity/Q11296289,1
http://www.wikidata.org/entity/Q11296295,1
http://www.wikidata.org/entity/Q11296303,1
http://www.wikidata.org/entity/Q11296312,1
http://www.wikidata.org/entity/Q11296343,1
http://www.wikidata.org/entity/Q11296496,1
http://www.wikidata.org/entity/Q11296502,1
http://www.wikidata.org/entity/Q11296536,1
http://www.wikidata.org/entity/Q11296624,1
http://www.wikidata.org/entity/Q11296625,1
http://www.wikidata.org/entity/Q11296638,1
http://www.wikidata.org/entity/Q11296646,1
http://www.wikidata.org/entity/Q11296650,1
http://www.wikidata.org/entity/Q11296651,1
http://www.wikidata.org/entity/Q11296674,1
http://www.wikidata.org/entity/Q11296691,1
http://www.wikidata.org/entity/Q11296721,1
http://www.wikidata.org/entity/Q11296726,1
http://www.wikidata.org/entity/Q11296727,1
http://www.wikidata.org/entity/Q11296728,1
http://www.wikidata.org/entity/Q11296729,1
http://www.wikidata.org/entity/Q11296730,1
http://www.wikidata.org/entity/Q11297172,1
http://www.wikidata.org/entity/Q11297210,1
http://www.wikidata.org/entity/Q11297213,1
http://www.wikidata.org/entity/Q11297350,1
http://www.wikidata.org/entity/Q11297404,1
http://www.wikidata.org/entity/Q11297547,1
http://www.wikidata.org/entity/Q11297554,1
http://www.wikidata.org/entity/Q11297555,1
http://www.wikidata.org/entity/Q11297556,1
http://www.wikidata.org/entity/Q11297557,1
http://www.wikidata.org/entity/Q11297564,1
http://www.wikidata.org/entity/Q11297566,1
http://www.wikidata.org/entity/Q11297567,1
http://www.wikidata.org/entity/Q11297568,1
